id,name,latin_name,cost,atlas_x,layer,mature_turn,lifecycle,n_delta,m_delta,yield_val,energy_yield,soil_reqs,soil_yields,desc,frost_hardiness,shade_tolerance,drought_resist,root_type,attracts_wildlife,repels_pests,coppice_yield,windbreak_rating,dynamic_accumulator,nitrogen_fixer,mycorrhizal_affinity,harvest_season,edible_parts,toxicity,spread_rate
apple,Apple Tree,Malus domestica,6,6,canopy,12,perennial,-0.5,-2,25,8,"well aerated, full o worms",mycorrhizally interconnected,Hardy orchard tree. Requires rich soil.,8,Low,Medium,Fibrous,"Bees, Birds",,0,6,false,false,High,Autumn,Fruit,None,2
damson,Damson Plum,Prunus insititia,12,6,canopy,18,perennial,-0.4,-1.5,35,10,loam,mycorrhizally interconnected,Tough wind-resistant orchard tree.,9,Low,Medium,Fibrous,"Bees, Birds",,0,8,false,false,High,Late Summer,Fruit,None,2
hawthorn,Hawthorn,Crataegus monogyna,5,6,canopy,10,perennial,-0.1,-0.5,8,2,,well aerated,Classic hedgerow pioneer.,10,Medium,High,Deep Taproot,"Birds, Insects",Deer,4,10,false,false,Medium,Autumn,"Berries, Leaves",None,4
hazel,Hazel,Corylus avellana,8,7,understory,14,perennial,-0.3,-1,20,15,well aerated,"loam, mycorrhizally interconnected",Highly productive understory shrub.,8,High,Medium,Fibrous spreading,Squirrels,,10,6,false,false,High,Autumn,Nuts,None,3
yorkshire_rhubarb,Forced Rhubarb,Rheum rhabarbarum,6,7,understory,5,perennial,-0.8,-1.2,25,8,"full o worms, loam",,Heavy feeder requiring rich compost.,10,High,Low,Thick Rhizome,Slugs,,0,1,false,false,Low,Early Spring,Stems,Leaves toxic,5
comfrey_b14,Comfrey (Bocking 14),Symphytum x uplandicum,3,8,ground,4,perennial,0,0.5,5,0,,"well aerated, loam",The ultimate dynamic accumulator.,9,Medium,High,Extreme Taproot,Bumblebees,,0,0,true,false,Medium,Continuous,,Liver toxicity if ingested,0
alder,Common Alder,Alnus glutinosa,4,6,canopy,15,perennial,0.5,-2.5,0,0,sandy,"loam, well aerated",Pioneer canopy. Roots host Frankia bacteria to fix nitrogen whilst pumping water out of heavy clay.,9,Low,Low,Deep,Birds,,5,8,FALSE,TRUE,High,None,None,None,3
blackcurrant,Blackcurrant,Ribes nigrum,5,7,understory,8,perennial,-0.3,-1,15,6,loam,mycorrhizally interconnected,Hardy northern shrub. Produces tart berries.,8,Medium,Medium,Fibrous spreading,Birds,,2,2,FALSE,FALSE,Medium,Summer,Berries,None,2
broad_bean,Broad Bean,Vicia faba,3,7,understory,4,annual,0.5,-0.5,10,6,,"full o worms, loam",Hardy short-lived annual. Perfect pioneer crop to quickly inject nitrogen.,7,Low,Medium,Shallow,Bees,,0,0,FALSE,TRUE,Low,Summer,Beans,None,1
rosemary,Rosemary,Salvia rosmarinus,4,7,understory,6,perennial,-0.1,-0.2,5,2,sandy,,Aromatic woody herb. Excellent at repelling pests.,8,Low,High,Fibrous,Bees,Carrot Fly,0,2,FALSE,FALSE,Low,Continuous,Leaves,None,1
white_clover,White Clover,Trifolium repens,2,8,ground,3,perennial,0.4,-0.2,2,0,,loam,Spreading living mulch. Suppresses weeds and fixes nitrogen.,9,Medium,Medium,Creeping,Bees,,0,0,FALSE,TRUE,Medium,Continuous,Leaves,None,5
