id,atlas_x,attracts_wildlife,bacterial_affinity,coppice_yield,cost,desc,drought_resist,dynamic_accumulator,edible_parts,energy_yield,frost_hardiness,fungal_affinity,harvest_season,ideal_ph_max,ideal_ph_min,latin_name,layer,lifecycle,m_delta,macro_life_affinity,mature_turn,days_to_mature,days_to_senescence,max_minerals,max_moisture,max_nitrogen,max_temp,max_toxicity,min_depth,min_germination_temp,min_minerals,min_moisture,min_nitrogen,mineral_delta,moisture_delta,mycorrhizal_affinity,n_delta,name,nitrogen_delta,nitrogen_fixer,repels_pests,root_type,shade_tolerance,soil_reqs,soil_yields,spread_rate,structure_delta,toxicity,toxicity_delta,windbreak_rating,yield_val,flowering_seasons,pollination_bonus
apple,6,Bees|Birds,3,0,6,Hardy orchard tree. Requires rich soil.,Medium,false,Fruit,8,8,9,Autumn,7,6,Malus domestica,canopy,perennial,-2,5,12,12,17,10,10,10,40,7,35,6,2,4,4,-0.1,-4,High,-0.5,Apple Tree,-2,false,,Fibrous,Low,well aerated|full o worms,mycorrhizally interconnected,2,0,None,0,6,25,autumn,3
damson,6,Bees|Birds,3,0,12,Tough wind-resistant orchard tree.,Medium,false,Fruit,10,9,9,Late Summer,7,6,Prunus insititia,canopy,perennial,-1.5,5,18,18,25,10,10,10,40,7,35,6,2,4,4,-0.1,-3,High,-0.4,Damson Plum,-2,false,,Fibrous,Low,loam,mycorrhizally interconnected,2,0,None,0,8,35,"summer,autumn",3
hawthorn,6,Birds|Insects,4,4,5,Classic hedgerow pioneer.,High,false,"Berries, Leaves",2,10,7,Autumn,7.5,6,Crataegus monogyna,canopy,perennial,-0.5,6,10,10,14,10,10,10,40,8,45,4,2,4,3,-0.1,-1,Medium,-0.1,Hawthorn,0,false,Deer,Deep Taproot,Medium,,well aerated,4,2,None,0,10,8,autumn,1
hazel,7,Squirrels,4,10,8,Highly productive understory shrub.,Medium,false,Nuts,15,8,8,Autumn,7,6,Corylus avellana,understory,perennial,-1,6,14,14,20,10,10,10,40,7,30,6,4,4,4,-1,-2,High,-0.3,Hazel,-1,false,,Fibrous spreading,High,well aerated,loam|mycorrhizally interconnected,3,0,None,0,6,20,autumn,3
yorkshire_rhubarb,7,Slugs,6,0,6,Heavy feeder requiring rich compost.,Low,false,Stems,8,10,4,Early Spring,6.8,5.5,Rheum rhabarbarum,understory,perennial,-1.2,8,5,5,8,10,10,10,40,6,40,5,4,4,4,-3,-2,Low,-0.8,Forced Rhubarb,-3,false,,Thick Rhizome,High,full o worms|loam,,5,1,Leaves toxic,0,1,25,spring,3
comfrey_b14,8,Bumblebees,6,0,3,The ultimate dynamic accumulator.,High,true,,0,9,5,Continuous,7.5,6,Symphytum x uplandicum,ground,perennial,0.5,8,4,4,7,10,10,10,40,7,55,7,4,4,4,2,1,Medium,0,Comfrey (Bocking 14),0,false,,Extreme Taproot,Medium,,well aerated|loam,0,3,Liver toxicity if ingested,-2,0,5,"spring,summer,autumn",1
alder,6,Birds,5,5,4,Pioneer canopy. Roots host Frankia bacteria to fix nitrogen whilst pumping water out of heavy clay.,Low,false,None,0,9,8,None,7.5,5.5,Alnus glutinosa,canopy,perennial,-2.5,5,15,15,21,10,10,10,40,8,50,5,2,4,2,-0.1,-5,High,0.5,Common Alder,2,true,,Deep,Low,sandy,loam|well aerated,3,2,None,0,8,0,,0
blackcurrant,7,Birds,5,2,5,Hardy northern shrub. Produces tart berries.,Medium,false,Berries,6,8,6,Summer,6.5,5.5,Ribes nigrum,understory,perennial,-1,5,8,8,11,10,10,10,40,7,28,6,4,4,4,-1,-2,Medium,-0.3,Blackcurrant,-1,false,,Fibrous spreading,Medium,loam,mycorrhizally interconnected,2,0,None,0,2,15,summer,2
broad_bean,7,Bees,8,0,3,Hardy short-lived annual. Perfect pioneer crop to quickly inject nitrogen.,Medium,false,Beans,6,7,3,Summer,7,6,Vicia faba,understory,annual,-0.5,7,4,4,7,10,10,10,40,7,18,8,4,4,1,0,-1,Low,0.5,Broad Bean,2,true,,Shallow,Low,,full o worms|loam,1,0,None,0,0,10,summer,2
rosemary,7,Bees,4,0,4,Aromatic woody herb. Excellent at repelling pests.,High,false,Leaves,2,8,5,Continuous,7.5,6,Salvia rosmarinus,understory,perennial,-0.2,4,6,6,9,10,10,10,40,8,22,10,4,3,4,0,0,Low,-0.1,Rosemary,0,false,Carrot Fly,Fibrous,Low,sandy,,1,0,None,0,2,5,"spring,summer,autumn",1
